Date,Day,Time,Phase,Cage,IdLabel,Age_in_months,hourly_duration
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,10793A,37,182.946
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,14827B,25,96.613
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,16509C,20,251.067
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,16829E,18,243.524
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,18291F,15,156.498
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-1,19231J,12,139.321
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-2,10793A,37,105.107
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-2,14827B,25,419.666
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-2,16509C,20,224.402
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-2,18291F,15,276.142
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-2,19231J,12,10.17
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,10793A,37,158.428
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,14827B,25,172.766
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,16509C,20,207.854
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,16829E,18,124.768
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,18291F,15,138.646
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-3,19231J,12,168.309
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,10793A,37,242.234
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,14827B,25,277.155
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,16509C,20,231.587
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,16829E,18,207.114
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,18291F,15,200.823
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-4,19231J,12,312.824
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,10793A,37,206.673
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,14827B,25,201.659
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,16509C,20,48.839
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,16829E,18,78.547
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,18291F,15,159.423
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-5,19231J,12,116.881
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,10793A,37,227.669
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,14827B,25,175.502
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,16509C,20,151.766
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,16829E,18,346.102
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,18291F,15,332.829
2020-08-24,1,2023-03-15T10:00:00Z,light,Cage 2-6,19231J,12,305.199
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,10793A,37,273.241
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,14827B,25,120.13
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,16509C,20,135.428
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,16829E,18,201.13
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,18291F,15,144.261
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-1,19231J,12,347.352
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-2,10793A,37,720.853
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-2,14827B,25,819.488
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-2,16509C,20,574.97
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-2,18291F,15,700.236
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-2,19231J,12,146.802
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,10793A,37,179.098
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,14827B,25,217.229
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,16509C,20,126.712
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,16829E,18,361.644
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,18291F,15,191.848
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-3,19231J,12,367.712
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,10793A,37,272.923
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,14827B,25,453.749
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,16509C,20,372.388
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,16829E,18,162.897
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,18291F,15,462.69
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-4,19231J,12,246.929
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,10793A,37,231.479
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,14827B,25,348.096
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,16509C,20,333.407
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,16829E,18,374.449
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,18291F,15,216.173
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-5,19231J,12,447.15
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,10793A,37,314.748
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,14827B,25,261.668
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,16509C,20,432.788
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,16829E,18,388.007
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,18291F,15,412.489
2020-08-24,1,2023-03-15T11:00:00Z,light,Cage 2-6,19231J,12,370.521
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,10793A,37,241.353
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,14827B,25,224.793
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,16509C,20,110.832
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,16829E,18,104.018
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,18291F,15,314.435
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-1,19231J,12,601.364
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-2,10793A,37,682.472
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-2,14827B,25,1105.309
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-2,16509C,20,1015.912
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-2,18291F,15,767.503
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-2,19231J,12,192.104
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,10793A,37,144.438
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,14827B,25,213.532
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,16509C,20,275.829
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,16829E,18,202.364
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,18291F,15,291.727
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-3,19231J,12,337.681
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,10793A,37,450.466
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,14827B,25,384.302
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,16509C,20,285.855
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,16829E,18,280.058
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,18291F,15,410.784
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-4,19231J,12,360.659
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,10793A,37,83.623
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,14827B,25,228.673
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,16509C,20,241.583
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,16829E,18,277.56
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,18291F,15,217.12
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-5,19231J,12,263.968
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,10793A,37,72.918
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,14827B,25,274.923
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,16509C,20,450.73
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,16829E,18,718.598
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,18291F,15,118.294
2020-08-24,2,2023-03-15T12:00:00Z,dark,Cage 2-6,19231J,12,265.086
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-1,14827B,25,27.687
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-2,14827B,25,32.932
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-3,14827B,25,25.701
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-4,14827B,25,31.424
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-5,14827B,25,12.297
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 1-6,14827B,25,8.926
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,10793A,37,262.47
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,14827B,25,93.842
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,16509C,20,67.912
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,16829E,18,527.707
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,18291F,15,152.238
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-1,19231J,12,357.041
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,10793A,37,359.14
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,14827B,25,128.236
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,16509C,20,619.682
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,16829E,18,602.702
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,18291F,15,450.312
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-2,19231J,12,607.472
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,10793A,37,199.848
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,14827B,25,72.882
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,16509C,20,46.188
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,16829E,18,377.065
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,18291F,15,406.028
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-3,19231J,12,357.646
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,10793A,37,605.858
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,14827B,25,338.905
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,16509C,20,405.043
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,16829E,18,289.862
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,18291F,15,326.93
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-4,19231J,12,242.655
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,10793A,37,146.131
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,14827B,25,70.95
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,16509C,20,90.832
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,16829E,18,352.625
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,18291F,15,132.623
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-5,19231J,12,423.143
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,10793A,37,89.023
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,14827B,25,122.481
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,16509C,20,33.308
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,16829E,18,168.743
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,18291F,15,220.063
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 2-6,19231J,12,290.56
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-1,10793A,37,20.76
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-1,14827B,25,127.073
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-1,16509C,20,102.985
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-2,10793A,37,35.406
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-2,14827B,25,639.649
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-2,16509C,20,374.937
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-3,10793A,37,78.368
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-3,14827B,25,154.18
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-3,16509C,20,98.932
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-4,10793A,37,44.75
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-4,14827B,25,152.071
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-4,16509C,20,105.694
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-5,10793A,37,3.297
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-5,14827B,25,115.441
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-5,16509C,20,201.849
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-6,10793A,37,14.168
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-6,14827B,25,81.378
2020-08-24,2,2023-03-15T13:00:00Z,dark,Cage 3-6,16509C,20,159.059
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-1,10793A,37,72.523
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-1,14827B,25,14.503
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-2,10793A,37,127.433
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-2,14827B,25,23.588
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-3,10793A,37,107.278
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-3,14827B,25,3.803
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-4,10793A,37,71.933
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-4,14827B,25,29.813
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-5,10793A,37,23.723
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 1-6,10793A,37,28.103
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-1,10793A,37,699.068
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-1,14827B,25,83.648
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-1,16829E,18,576.255
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-1,18291F,15,292.949
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-1,19231J,12,245.952
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-2,10793A,37,22.736
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-2,14827B,25,347.625
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-2,16829E,18,746.75
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-2,18291F,15,291.525
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-2,19231J,12,131.098
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-3,10793A,37,67.614
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-3,14827B,25,116.874
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-3,16829E,18,115.812
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-3,18291F,15,291.851
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-3,19231J,12,322.914
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-4,10793A,37,179.168
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-4,14827B,25,171.105
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-4,16829E,18,120.86
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-4,18291F,15,240.541
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-4,19231J,12,165.933
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-5,10793A,37,170.914
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-5,14827B,25,93.65
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-5,16829E,18,406.89
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-5,18291F,15,294.904
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-5,19231J,12,342.299
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-6,10793A,37,28.035
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-6,14827B,25,76.381
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-6,16829E,18,238.832
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-6,18291F,15,175.473
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 2-6,19231J,12,138.604
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-1,10793A,37,52.557
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-1,14827B,25,94.042
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-1,16509C,20,167.408
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-2,10793A,37,102.032
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-2,14827B,25,255.926
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-2,16509C,20,1019.456
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-3,10793A,37,24.564
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-3,14827B,25,80.264
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-3,16509C,20,224.408
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-4,10793A,37,12.681
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-4,14827B,25,106.603
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-4,16509C,20,344.822
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-5,14827B,25,94.118
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-5,16509C,20,280.569
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-6,14827B,25,227.132
2020-08-24,2,2023-03-15T14:00:00Z,dark,Cage 3-6,16509C,20,108.912
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-1,14827B,25,21.787
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-2,14827B,25,146.524
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-3,14827B,25,27.746
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-4,14827B,25,87.126
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-5,14827B,25,27.322
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 1-6,14827B,25,19.239
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-1,14827B,25,1226.981
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-1,16829E,18,291.45
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-1,18291F,15,255.465
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-1,19231J,12,175.367
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-2,14827B,25,228.052
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-2,16829E,18,26.677
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-2,18291F,15,753.599
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-2,19231J,12,193.419
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-3,14827B,25,294.878
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-3,16829E,18,202.442
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-3,18291F,15,478.08
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-3,19231J,12,176.394
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-4,14827B,25,258.936
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-4,16829E,18,68.033
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-4,18291F,15,141.153
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-4,19231J,12,89.782
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-5,14827B,25,93.597
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-5,16829E,18,53.333
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-5,18291F,15,145.992
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-5,19231J,12,220.361
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-6,14827B,25,42.332
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-6,16829E,18,121.15
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-6,18291F,15,37.906
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 2-6,19231J,12,101.554
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-1,10793A,37,1169.256
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-1,14827B,25,22.754
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-1,16509C,20,1713.92
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-2,10793A,37,1099.145
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-2,14827B,25,33.531
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-2,16509C,20,486.48
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-3,10793A,37,166.399
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-3,14827B,25,28.525
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-3,16509C,20,40.727
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-4,10793A,37,162.128
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-4,14827B,25,5.236
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-4,16509C,20,40.744
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-5,10793A,37,101.651
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-5,14827B,25,4.405
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-5,16509C,20,113.115
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-6,10793A,37,67.359
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-6,14827B,25,8.609
2020-08-24,2,2023-03-15T15:00:00Z,dark,Cage 3-6,16509C,20,107.001
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 1-2,18291F,15,11.356
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 1-4,18291F,15,25.903
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 1-5,18291F,15,21.487
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 1-6,18291F,15,32.672
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-1,14827B,25,3.934
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-1,16829E,18,1374.352
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-1,18291F,15,53.625
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-1,19231J,12,16.456
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-2,14827B,25,13.2
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-2,18291F,15,305.296
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-2,19231J,12,56.115
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-3,14827B,25,33.401
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-3,16829E,18,19.971
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-3,18291F,15,207.229
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-3,19231J,12,412.913
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-4,14827B,25,6.9
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-4,16829E,18,26.905
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-4,18291F,15,88.13
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-4,19231J,12,52.316
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-5,14827B,25,5.845
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-5,16829E,18,17.522
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-5,18291F,15,142.27
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-5,19231J,12,58.266
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-6,14827B,25,5.732
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-6,16829E,18,8.938
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-6,18291F,15,117.579
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 2-6,19231J,12,22.53
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-1,10793A,37,2470.751
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-1,14827B,25,2026.55
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-1,16509C,20,38.982
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-1,18291F,15,162.248
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-2,10793A,37,33.63
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-2,14827B,25,21.932
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-2,16509C,20,16.913
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-2,18291F,15,132.418
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-3,10793A,37,48.25
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-3,14827B,25,43.916
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-3,16509C,20,171.245
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-3,18291F,15,129.712
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-4,10793A,37,10.912
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-4,14827B,25,10.337
2020-08-24,2,2023-03-15T16:00:00Z,dark,Cage 3-4,16509C,20,572.694
